PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;63826;63826;48623;48623-63826;4290;1005451-48623;50062226;1242478-1005451
;;477992;1153381;44574;44574-1153381;4286;1384159-44574;50062130;1243023-1384159
;;412739;1206997;462040;974124-1206997;11571;1384122-974124;50061986;1243125-1384122
;;63741;758734;411222;411249-758734;40535;1384116-411249;50062170;1277689-1384116
;;63889;63889;43452;43452-63889;4347;1384092-43452;50124647;1261734-1384092
;;69479;1384091;53385;53385-1384091;12752;1384084-53385;50062053;1390474-1384084
;;69479;1384091;424729;890774-1384091;29145;863097-890774;50160867;1275223-863097
;;63964;63964;42971;42971-63964;9950;848609-42971;50061326;1242736-848609
;;63964;63964;42971;42971-63964;4141;4141-42971;50062179;1242988-4141
;;63551;63551;52896;661575-63551;40536;804848-661575;50062171;1242994-804848
;;417424;692772;42382;42382-692772;4271;4271-42382;50062209;1242968-4271
;;63522;63522;42329;42329-63522;20361;1207009-42329;50061611;1242548-1207009
;;63599;63599;42157;42157-63599;12790;1384015-42157;50061615;1242544-1384015
;;63599;63599;42157;42157-63599;20366;1004548-42157;50061616;1242543-1004548
;;69911;808052;58561;58561-808052;26600;1383914-58561;50145652;1268189-1383914
;;69705;69705;56551;56551-69705;17171;1383870-56551;50004381;1201257-1383870
;;70226;731920;45714;45714-731920;17039;1383854-45714;50004164;1215745-1383854
;;70113;862781;44558;44558-862781;17038;1332793-44558;50004163;1189121-1332793
;;70113;862781;44558;44558-862781;17037;1383769-44558;50004161;1189119-1383769
;;70113;862781;44558;44558-862781;30164;1383782-44558;50142125;1330770-1383782
;;70113;862781;44558;44558-862781;39552;1383770-44558;50122715;1267994-1383770
;;70039;789869;56491;789868-789869;35954;1383679-789868;50126304;1267706-1383679
;;70039;789869;56491;789868-789869;35954;1383679-789868;50002941;1196878-1383679
;;70039;789869;56491;789868-789869;35955;1383684-789868;50002942;1196877-1383684
;;69637;69637;56511;56511-69637;17099;1383654-56511;50004243;1201300-1383654
;;69637;69637;56511;56511-69637;17100;1383657-56511;50004244;1201303-1383657
;;69727;69727;56575;56575-69727;23915;1383557-56575;50004494;1215640-1383557
;;69727;69727;56575;56575-69727;17233;1383563-56575;50004493;1215641-1383563
;;69718;69718;56510;56510-69718;17097;1383548-56510;50004242;1213907-1383548
;;72807;72807;43596;43596-72807;14866;1383540-43596;50003004;1189962-1383540
;;69630;1383515;56576;1383514-1383515;17243;1383513-1383514;50004506;1215634-1383513
;;420299;731929;43379;43379-731929;37186;1383333-43379;50142301;1267620-1383333
;;69685;69685;56544;56544-69685;17161;1383252-56544;50004361;1197199-1383252
;;69680;69680;56542;56542-69680;17159;1383200-56542;50004355;1215675-1383200
;;69680;69680;56542;56542-69680;17160;1383197-56542;50004356;1201259-1383197
;;461920;969997;42481;42481-969997;17541;1383107-42481;50003957;1236332-1383107
